ID,Orgname,City,Zip
1000010,Swedish Hospital,WOODSTOCK,60098
1000015,Relevation Research,CHICAGO,60661
1000018,Il School Dist 107,LA GRANGE HIGHLANDS,60525
100002,Freehand Hotel LLC,HIGHLAND PARK,60035
1000023,Korein Tillery Llc,CHICAGO,60614
100003,International Bank of Chicago,RIVER FOREST,60305
1000060,Celette North America,LOMBARD,60148
1000079,Lyft Inc,PARK RIDGE,60068
1000080,Giftsforyounow LLC,WOODRIDGE,60517
1000097,Lake Forest College,MOUNT PROSPECT,60056
1000136,True Value Mfg,CARY,60013
1000138,McDonald's Corp,DANVILLE,61832
1000139,Home State Bank,CHICAGO,60654
100014,Village Leadership Academy,CHICAGO,60614
1000141,Impact Networking LLC,LAKE ZURICH,60047
1000142,Dept of Human Services,CHICAGO,60660
1000160,Sotera Health,DEKALB,60115
1000162,Advocate Property Management,NAPERVILLE,60564
100017,Bielawski Law Group,EVANSTON,60201
1000175,Smithfield Foods,BLOOMINGTON,61701
100018,US Court of Appeals,GRANITE CITY,62040
100019,Point B,CHICAGO,60613
1000190,Quill.Com,CHICAGO,60622
1000195,Smithamundsen LLC,CHICAGO,60613
1000197,Preferred Hotels Group,SKOKIE,60077
1000203,Beazer Homes,CHICAGO,60622
1000213,Yello,CHICAGO,60614
100022,Bridge My Return,LAKE FOREST,60045
1000220,Yello,CHICAGO,60640
100023,Comed,MORRIS,60450
1000231,Howe Freightways,ROCKFORD,61107
1000233,Domino's Pizza,KEWANEE,61443
1000235,Franciscan Physician Network,PALOS HEIGHTS,60463
1000238,CMRJB Workers United,CHICAGO,60660
1000242,Barilla,LIBERTYVILLE,60048
1000245,Colectivo,CHICAGO,60622
1000246,Greystar,CHICAGO,60645
1000250,Affiliated Control,HAMPSHIRE,60140
1000253,Concordia University,CHICAGO,60615
1000259,Schnucks,BELLEVILLE,62226
1000260,Williamson County Programs on Aging,HERRIN,62948
1000264,Fisheries Biologist,OLNEY,62450
1000268,Graphic Design,OSWEGO,60543
1000271,Glrs,PAW PAW,61353
1000277,Charles Schwab Corp,PROSPECT HEIGHTS,60070
100028,Pete Buttigieg,HINSDALE,60521
1000281,Synchrony Financial,MORTON GROVE,60053
1000289,McGill University,CHICAGO,60631
1000295,Advocate Aurora Health                            ,PARK RIDGE,60068
1000298,Electrician,SANDWICH,60548
1000302,Lake County Sheriff's Dept,ANTIOCH,60002
1000303,Teamster Local 50,DE SOTO,62924
1000305,Self-Employed,ARLINGTON HEIGHTS,60004
1000311,Chicago Park District,CHICAGO,60640
1000321,Background Checks,BUFFALO GROVE,60089
1000327,Zayo Group,ROSELLE,60172
1000341,Canpango LLC,CHICAGO,60625
1000342,News Progress,SULLIVAN,61951
1000349,Kin+Carta,CHICAGO,60647
1000351,Southwest Airlines,CHICAGO,60629
1000352,Publicist,DOWNERS GROVE,60516
1000359,Dog Groomer,EVERGREEN PARK,60805
1000371,Sprout Social,CHICAGO,60640
1000374,Advocate Health Care,EVANSTON,60201
1000376,Soliant Consulting,CHICAGO,60660
1000384,Photographer,FRANKLIN PARK,60131
1000398,Goby Inc,CHICAGO,60608
1000399,Upton's Naturals,CHICAGO,60618
1000410,Wastebuilt,BOLINGBROOK,60440
1000413,Rcm Laboratories,HINSDALE,60521
1000414,Carle Foundation Hospital,LATHAM,62543
1000415,Ty Lin International,CHICAGO,60613
1000422,Nssed,HIGHLAND PARK,60035
1000424,Nielsen Co,CHICAGO,60606
1000425,Grand Geneva,HEBRON,60034
1000428,Bmm Transportation,PEORIA,61615
1000430,Champaign Unit 4 Sd,CHAMPAIGN,61821
1000439,Prarie Cardiovascular,SPRINGFIELD,62704
1000441,Mens Hairstylist,CHICAGO,60631
1000443,Costa Rica Experts,CHICAGO,60657
1000444,Best Chicago Properties,WILMETTE,60091
100045,Book Table,OAK PARK,60301
1000451,Wcia,DECATUR,62521
1000452,City of Peoria,PEORIA,61604
1000462,WM Huber Cabinet,OAK PARK,60301
1000463,Designory,CHICAGO,60618
1000467,Staywell,CHICAGO,60626
1000470,Foreign Academic Credential Services,EDWARDSVILLE,62025
1000472,Amber Mech,TINLEY PARK,60487
1000475,Jellyvision,CHICAGO,60645
1000478,Council Oak Montessori School,BLUE ISLAND,60406
1000481,Jewel-Osco,DARIEN,60561
1000499,Rush University Medical Center,CHICAGO,60625
1000500,Lbba,CHICAGO,60614
100051,Oakton Community College,SKOKIE,60076
1000516,Artist,ROCKFORD,61109
100052,Pro Legal Care LLC,ROSCOE,61073
1000523,Self-Employed,CHICAGO,60630
1000528,Pactiv,DOWNERS GROVE,60516
1000534,Hospital,CHICAGO,60653
1000537,Excavating Contractor,CARY,60013
100054,Depaul University,CHICAGO,60637
1000550,JPMorgan Chase & Co,CHICAGO,60613
1000555,Ifcj,WESTMONT,60559
100057,Rush University Medical Center,CHAMPAIGN,61821
1000576,Real Estate Broker,COLLINSVILLE,62234
1000578,Southern Resource Mgt,EL DORADO,62930
100058,King & Spalding,CHICAGO,60647
1000587,Blue Cross/Blue Shield of Illinois,HARRISBURG,62946
1000589,Talman Consultants,CHICAGO,60645
100059,Jl Woode Co,CHICAGO,60654
1000591,Mars Inc,CHICAGO,60642
100060,Zurich Insurance,CHICAGO,60616
1000604,Sears Holdings Corp,NAPERVILLE,60565
1000609,Rps205,ROCKFORD,61109
100061,Topco Assoc,INVERNESS,60010
1000631,Health Care Service Corp,RIVERSIDE,60546
1000632,Avant,CHICAGO,60613
1000638,Aitz Hayim Center,HIGHLAND PARK,60035
1000640,Feller Pharmacy,BYRON,61010
1000641,Artist,CHICAGO,60647
1000643,Mae Plastic Surgery,NORTHBROOK,60062
1000647,Meier,SAVANNA,61074
1000649,Hickory River Smokehouse,URBANA,61801
1000653,Becmar Sprinkler Systems,CRYSTAL LAKE,60012
100066,Sun Chemical,CLARENDON HILLS,60514
100067,Motorola Solutions,CHICAGO,60640
1000684,Pass Security,O'FALLON,62269
1000685,Hilton Worldwide,CHICAGO,60657
100070,Artisan Partners,CHICAGO,60614
1000709,University of Illinois,BURR RIDGE,60527
1000718,Acero Charter Schools,CHICAGO,60605
100073,Bookkeeper,CHICAGO,60660
1000731,State of Illinois,MANTENO,60950
1000743,Investor,NORTHBROOK,60062
100075,St Philip Lutheran Church,GLENVIEW,60025
1000758,Keystone Trading,BARTLETT,60103
1000759,Cook,DONGOLA,62926
100076,Consultant,WINFIELD,60190
1000765,Panduit Corp,TINLEY PARK,60477
1000769,Homemaker,AURORA,60505
100077,Enesco LLC,BARRINGTON,60010
1000770,Disability Claims Examiner,CHICAGO HEIGHTS,60411
1000771,Larson Engineering,CHICAGO,60647
1000778,Rush Copley Hospital,AURORA,60505
